,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
4071,-4.1453351496231353e-13,-8.636115295527885e-13,0.25000000000086486,-4.145333510332368e-12,4.3831355242495874e-07,0.2500000000008649,1.999997519823998,-6.908880567085107e-11,2.0419315295513467e-06,0.24999956168644688
4072,-4.1453351050200507e-13,-8.636115199734265e-13,0.25000000000086486,-4.145333477588424e-12,4.352250094543508e-07,0.2500000000008649,1.9999975373009509,-6.90888057246864e-11,2.027543119796601e-06,0.24999956477498986
4073,-4.145335060738327e-13,-8.636115104629971e-13,0.25000000000086486,-4.145333445032704e-12,4.321582261225309e-07,0.2500000000008649,1.9999975546547732,-6.908880577818127e-11,2.013256080735096e-06,0.24999956784177318
4074,-4.1453350167754465e-13,-8.636115010210152e-13,0.25000000000086486,-4.1453334126437214e-12,4.2911304908566913e-07,0.2500000000008649,1.999997571886333,-6.908880583135889e-11,1.9990696979851672e-06,0.24999957088695024
4075,-4.1453349731287864e-13,-8.636114916469754e-13,0.25000000000086486,-4.145333380397475e-12,4.260893260701087e-07,0.2500000000008649,1.9999975889964918,-6.908880588424508e-11,1.984983262150808e-06,0.24999957391067323
4076,-4.145334929795611e-13,-8.6361148234035e-13,0.25000000000086486,-4.1453333482673216e-12,4.2308690586358705e-07,0.2500000000008649,1.9999976059861055,-6.908880593686842e-11,1.9709960687807695e-06,0.24999957691309346
4077,-4.1453348867731575e-13,-8.636114731006669e-13,0.25000000000086486,-4.145333316341437e-12,4.2010563865610195e-07,0.2500000000008649,1.9999976228560215,-6.908880598914276e-11,1.957107419957312e-06,0.24999957989436064
4078,-4.145334844058562e-13,-8.636114639274494e-13,0.25000000000086486,-4.1453332847364295e-12,4.1714537577465446e-07,0.2500000000008649,1.9999976396070813,-6.908880604095367e-11,1.943316623059892e-06,0.24999958285462354
4079,-4.145334801648631e-13,-8.636114548200238e-13,0.25000000000086486,-4.145333253313609e-12,4.1420596883116954e-07,0.2500000000008649,1.9999976562401245,-6.908880609244203e-11,1.9296229867937383e-06,0.24999958579403048
4080,-4.1453347595401393e-13,-8.636114457777804e-13,0.25000000000086486,-4.14533322206936e-12,4.112872708748781e-07,0.2500000000008649,1.9999976727559827,-6.908880614361386e-11,1.9160258265609825e-06,0.24999958871272843
4081,-4.1453347177297197e-13,-8.636114368000822e-13,0.25000000000086486,-4.145333191000772e-12,4.0838913598436023e-07,0.2500000000008649,1.9999976891554816,-6.908880619447452e-11,1.9025244625592385e-06,0.24999959161086333
4082,-4.145334676213853e-13,-8.636114278862629e-13,0.25000000000086486,-4.145333160105703e-12,4.0551141925934767e-07,0.2500000000008649,1.999997705439441,-6.908880624502875e-11,1.8891182197434099e-06,0.24999959448858006
4083,-4.1453346349888646e-13,-8.636114190356253e-13,0.25000000000086486,-4.145333129382853e-12,4.02653976812539e-07,0.2500000000008649,1.9999977216086755,-6.90888062952806e-11,1.875806427787559e-06,0.2499995973460225
4084,-4.145334594050916e-13,-8.636114102474402e-13,0.25000000000086486,-4.145333098831828e-12,3.9981666576139375e-07,0.2500000000008649,1.9999977376639932,-6.908880634523333e-11,1.8625884210466777e-06,0.24999960018333353
4085,-4.145334553395999e-13,-8.636114015209444e-13,0.25000000000086486,-4.1453330684532134e-12,3.9699934421994775e-07,0.2500000000008649,1.9999977536061972,-6.908880639488934e-11,1.8494635385185535e-06,0.24999960300065507
4086,-4.1453345130247027e-13,-8.636113928560465e-13,0.25000000000086486,-4.145333038260131e-12,3.94201871539847e-07,0.2500000000008649,1.9999977694360835,-6.908880644423113e-11,1.836431124967068e-06,0.24999960579812774
