,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
2748,-7.676924548717304e-12,-1.7895358909252297e-11,0.25000000001789485,-8.302792151015223e-12,0.0013743093877045972,0.25000000000166955,0.9921860527596335,-6.625736549740859e-11,0.006439637918921531,0.24862569061229553
2749,-7.487058493760987e-12,-1.744540508119122e-11,0.25000000001744493,-8.362511022925152e-12,0.0013647183954605853,0.2500000000016837,0.9922408440549986,-6.682329858097391e-11,0.006394437616366345,0.24863528160453954
2750,-7.302623243944486e-12,-1.7008321874531744e-11,0.25000000001700784,-8.420507376057844e-12,0.0013551937034312913,0.2500000000016975,0.9922952529617198,-6.737306121155188e-11,0.0063495534022240925,0.24864480629656885
2751,-7.123463584645267e-12,-1.6583741435156007e-11,0.25000000001658323,-8.476830641827512e-12,0.0013457348620976783,0.25000000000171085,0.9923492821233078,-6.790711530545655e-11,0.006304983082503861,0.24865426513790245
2752,-6.949428434324583e-12,-1.6171305704366258e-11,0.2500000000161708,-8.531528931612503e-12,0.0013363414248609138,0.2500000000017238,0.9924029341653967,-6.842591048354702e-11,0.00626072447817049,0.24866365857513922
2753,-6.7803711514464295e-12,-1.577066714631628e-11,0.25000000001577016,-8.584648937587027e-12,0.0013270129480326303,0.2500000000017364,0.9924562116957926,-6.892988315958831e-11,0.006216775425106934,0.2486729870519675
2754,-6.616149476124708e-12,-1.5381488609724616e-11,0.250000000015381,-8.636235951522215e-12,0.0013177489908190556,0.25000000000174866,0.9925091173045762,-6.941945671364042e-11,0.006173133774026396,0.24868225100918107
2755,-6.456624928373089e-12,-1.5003441901651466e-11,0.25000000001500294,-8.68633405819267e-12,0.0013085491152946523,0.25000000000176054,0.9925616535643018,-6.98950432807203e-11,0.0061297973903007815,0.24869145088470546
2756,-6.301663090426306e-12,-1.4636208456651816e-11,0.25000000001463574,-8.734986044485117e-12,0.001299412886392678,0.2500000000017721,0.9926138230300423,-7.035704291179964e-11,0.006086764153924357,0.24870058711360743
2757,-6.151133576188491e-12,-1.4279479264371856e-11,0.25000000001427897,-8.782233409015788e-12,0.0012903398718899694,0.2500000000017833,0.9926656282394871,-7.080584366484892e-11,0.006044031959430994,0.24870966012811013
2758,-6.004909455366969e-12,-1.3932953504683354e-11,0.25000000001393247,-8.82811654753484e-12,0.0012813296423803758,0.2500000000017942,0.9927170717131418,-7.124182331620989e-11,0.006001598715721912,0.24871867035761974
2759,-5.862867515715349e-12,-1.3596339169238903e-11,0.2500000000135959,-8.87267466815314e-12,0.001272381771265556,0.2500000000018047,0.9927681559543717,-7.166534858164969e-11,0.005959462346030373,0.24872761822873457
2760,-5.724888255395805e-12,-1.3269353043368732e-11,0.2500000000132689,-8.91594579330754e-12,0.0012634958347405166,0.250000000001815,0.9928188834494942,-7.207677513962646e-11,0.0059176207878443,0.2487365041652596
